"name","item"
"Kalavara Cloud Kitchen","Pothichoru with Kakka"
"New Khushbu Masala Waffers","Potato Wafer"
"Vinoo's","Potato Cheese Shots"
"THE CRAZY WALL","Potato Cheese Shots"
"Domino's Pizza","Potato Cheese Shots"
"Neha'S Kitchen","Pot Biryani"
"Ruchikoottu Fast Food","Porotta"
"PUKA","Porotta"
"Eden Garden Restaurant","Porotta"
"Al Wafa","Porotta"
"Arabian Knights","Porotta"
"Arabian Shack","Porotta"
"Joy caters","Porotta"
"Debbarma Food Corner","Pork Onion Fry Special"
"Swapna Fast Food Center","Pork Biryani"
"Food Delight","Pork Bharta With 3 Rotis"
"Crown Restaurant","Pork"
"Corn And Khichu","Popcorn"
"Sri Venkateshwara Oliga and Bajji Center","Poornam Oliga (1 Pc)"
"Sri Ruthra Bhavan","Pongal"
"Wat a Bowl","Pomegranate Milk Shake"
"No Sugar Please, Sweets & Juices","Pomegranate Juice"
"D.I.E.T Carry","Poha"
"T The Chai & More","Poha"
"Pibo Chai","Poha"
"NAIDU HOTEL","Podi Dosa"
"M2B Madurai Meenakshi Bhavan Restro","Podi Dosa"
"Abhiruchi andhra mess","Podi Dosa"
"The South Spot","Podi Dosa"
"Murugappas Kitchen","Podi Dosa"
"SRI BALAJI ANDHRA DELUXE MESS","Podi Dosa"
"Shawarma 4U","Plate Shawarma"
"New Ambur Biryani Point","Plate Shawarma"
"Kareem Pizzeria","Plane French Fries"
"Hotel Jai Maa","Plain Tarka"
"Kitchen Krafft","Plain Tandoori Roti"
"Ziva- All day dinning","Plain Tandoori Roti"
"Old Town Grill","Plain Tandoori Roti"
"Sattvam","Plain Tandoori Roti"
"khaira restaurant","Plain Tandoori Roti"
"Grill Nation","Plain Tandoori Roti"
"Thupa","Plain Steam Rice"
"Shree Malnad kairuchi","Plain Soup"
"Jayanagara Donne Biryani","Plain Soup"
"SOMANNA NATI MANE","Plain Soup"
"NENTTRA MANE","Plain Soup"
"HALLI HATTI DONNE BIRYANI","Plain Soup"
"AL HABEEB SHAWARMA","Plain Shawarma"
"Rathore Cafe","Plain Samosa"
"Gurudarshan Sweets","Plain Samosa"
"Sai Egg World","Plain Rice [Oil]"
"Hotel Kartik","Plain Rice"
"BRAHMIN KULKARNI UTTARA KARNATAKA FOOD","Plain Rice"
"SKF FOOD WORLD","Plain Rice"
"Raja Babu Non Veg Tawa And Fry","Plain Rice"
"SURABHI RESTAURANT","Plain Rice"
"New Hindustani Pavitra bhojanalya","Plain Rice"
"North Street","Plain Rice"
"Kulcha Annpurna","Plain Rice"
"Day 'N' Night","Plain Rice"
"Gokul Gujarati Thali","Plain Rice"
"Vaishnav Bhojnalay","Plain Rice"
"ROYAL CAFE","Plain Rice"
"Samira Restaurant","Plain Rice"
"Hotel Mono & Surti Omellete","Plain Rice"
"Noopur","Plain Rice"
"New Red Chilli Restaurant","Plain Rice"
"Shahi Fry Center","Plain Rice"
"BARREL HOUSE","Plain Rice"
"NEW SHETTY LUNCH HOME (VEG AND NON-VEG)","Plain Rice"
"Next Door Kitchen","Plain Rice"
"Lajawab Tawa Fry Center","Plain Rice"
"Bons food Factory","Plain Rice"
"BONGO ROSH","Plain Rice"
"Raai Jeera Veg & Desi Restaurant","Plain Rice"
"Tandoorworkz","Plain Rice"
"Rk Omlet","Plain Rice"
"UBQ by Barbeque Nation","Plain Rice"
"Tarla Daily Food","Plain Rice"
"Mums Kitchen","Plain Rice"
"KOLHAPUR CHA RASSA (STOCKS FROM KOLHAPUR)","Plain Rice"
"Forex Haveli Restaurant","Plain Rice"
"JK Omlette","Plain Rice"
"TRUPTI CAFEE","Plain Rice"
"Shree Krishna Bhojnalay","Plain Rice"
"Idli Stop- Siddharth Garden","Plain Rice"
"Rudu Kathiawad","Plain Rice"
"Santosh Fast Food","Plain Rice"
"Lucky Chinese","Plain Rice"
"Purohit Restaurant","Plain Rice"
"Mahalaxmi Fast Food & Kathiyawadi","Plain Rice"
"Purana Champaran Handi Meat","Plain Rice"
"Lucknowi zaika","Plain Rice"
"Mysore Cafe","Plain Rice"
"Hot Chatpata","Plain Rice"
"Paandikadai-Chettinad kitchen by Salt","Plain Rice"
"Urban Foods","Plain Rice"
"Urban Foods Ambawadi","Plain Rice"
"Sahyog Restaurant","Plain Rice"
"Gurudev Kathiyavadi Restaturant","Plain Rice"
"Sagar Snacks","Plain Rice"
"Hot & tasty restaurant","Plain Rice"
"Food Paradise","Plain Rice"
"ARABIAN DELIGHTS","Plain Rice"
"Punjab Food Way","Plain Rice"
"Jay Ambe Thali","Plain Rice"
"RASAM RESTAURANT","Plain Rice"
"MR SHAWARMA","Plain Rice"
"Cheers restaurant","Plain Rice"
"Rasoi Lajawab","Plain Rice"
"FOOD INDIA","Plain Rice"
"LITTLE KITCHEN MESS","Plain Rice"
"Kream Korner","Plain Rice"
"Sarvoday Bhojnalaya","Plain Rice"
"Hotel Vatika Family Restaurant","Plain Rice"
"AbsAbsoluteBarbecues","Plain Rice"
"Sidhivinayak Food Corner","Plain Rice"
"Sasuji","Plain Rice"
"Manu Food Corner","Plain Rice"
"Little Kitchen","Plain Rice"
"Shiva Bhojnalaya","Plain Rice"
"Lilivadi Tasty Food","Plain Rice"
"Fresh Yes Food Court","Plain Rice"
"The Quick Curry","Plain Rice"
"Al-Hamza","Plain Rice"
"Anshu Kitchen","Plain Rice"
"Lazeez Grill & Bbq","Plain Rice"
"OFUI HOTEL & RESTAURANT","Plain Rice"
"Annapurna Restaurant","Plain Rice"
"A-1 Panjabi Fastfood","Plain Rice"
"Hari Om Dhaba","Plain Rice"
"3 Star Fry Center","Plain Rice"
"Annapurna Canteen","Plain Rice"
"Midnight Food Court","Plain Rice"
"Hotel pragati","Plain Rice"
"Jaystambh kulfi centre","Plain Rabdi + Kaju Badam Kulfi"
"The Tiffin Zone","Plain Paratha"
"The Mondo Kitchen","Plain Paratha"
"Tasty Momos","Plain Paratha"
"Chaska Punjab Da","Plain Paratha"
"Tanya cafe","Plain Paratha"
"PARIS PIZZA","Plain Paratha"
"Punjabi Food On Way","Plain Paratha"
"Hamro Fusion","Plain Paratha"
"Hyderabadi Biryani Cornor","Plain Paratha"
"Jay Ambe Food Corner","Plain Paratha"
"RUCHIIRAA RESTAURANT","Plain Paratha"
"Greenz Restaurant","Plain Paratha"
"Amritsari Chaap And Paratha","Plain Paratha"
"Mumbai Food Court","Plain Paratha"
"Mahamaya Restaurant","Plain Paratha"
"Punjab Paratha Zone","Plain Paratha"
"City Corner","Plain Paratha"
"Paratha Lounge","Plain Paratha"
"Forty Wings","Plain Paratha"
"BBC (Bombay Breakfast Company)","Plain Paratha"
"Shiv Bhole Fast Food","Plain Paratha"
"Manu De Paratha","Plain Paratha"
"Akola Paratha House","Plain Paratha"
"Mast Punjabi Dhabha","Plain Paratha"
"RNR Food Station","Plain Paratha"
"Rajwadi Dhaba","Plain Paratha"
"DEV RAJ HOTEL","Plain Paratha"
"The Kb Fish And Chicken","Plain Paratha"
"Roti Curry aur Kebab","Plain Paratha"
"Jay Malhar Restaurant","Plain Paratha"
"Kumud's Chulhani","Plain Paratha"
"Magic of Spices","Plain Paratha"
"Hotel Manuhar Restaurant","Plain Paratha"
"SARASWATI TELABHAJI","Plain Paratha"
"The Bent Spoon","Plain Paratha"
"Katori Kitchens","Plain Paratha"
"Kundu Hotel And Restaurant","Plain Paratha"
"Milan Restaurant","Plain Naan"
"Amritsari Flavors","Plain Naan"
"Farzi Rasoi","Plain Naan"
"The Berlin Restaurant And Cafe","Plain Naan"
"Cafetreat Restaurant (Pride Biznotel ,Maison -Anand).","Plain Naan"
"Delhi Kitchen","Plain Naan"
"Deluxe Dhaba","Plain Naan"
"Chef Corner","Plain Naan"
"Labbaik Chicken Corner","Plain Naan"
"Toro Toro","Plain Naan"
"AMARPALI'S FOOD AND REFRESHMENT","Plain Naan"
"The Green Valley","Plain Naan"
"MUMMY SPECIAL KITCHEN","Plain Naan"
"Baba Chill","Plain Naan"
"Annapurna Rasoi","Plain Naan"
"DESI THALI BY HOTEL DHIRAJ PALACE","Plain Naan"
"Pandit Bhojnalaya","Plain Naan"
"Kebapci","Plain Naan"
"Mahaveer Dhaba","Plain Naan"
"Maalgaadi by Dhaba Estd 1986 Delhi","Plain Naan"
"Spice Box Nonveg Kitchen","Plain Naan"
"Lalaji","Plain Naan"
"Delhi Darbar ( Mango )","Plain Naan"
"BIRYANI POINT","Plain Naan"
"The New Nirala AC Restaurant","Plain Naan"
"Eatco","Plain Naan"
"Natraj Special Kulfa","Plain Kulfi"
"Egg Donalds","Plain Kheema"
"Om Banna restaurant","Plain Kachori With Curry"
"Merta Cafe","Plain Kachori"
"Subhash South Indian","Plain Dosa (Paper Dosa)"
"SHREE DELICIOUS","Plain Dosa"
"Sahyadri Food Point","Plain Dosa"
"Tamil Nadu dosa corner","Plain Dosa"
"Foodtech Cafe","Plain Dosa"
"Club House Cafe","Plain Dosa"
"Char Bhujari Nasta House","Plain Dosa"
"8AM TIFFINS","Plain Dosa"
"Moong n Millets","Plain Dosa"
"Sai Krishna Foods","Plain Dosa"
"COFFEE SANTHE","Plain Dosa"
"Madraswala","Plain Dosa"
"Wrundavan South Indian","Plain Dosa"
"Madras Cafe - The Taste Of Town","Plain Dosa"
"swadishtam","Plain Dosa"
"Mr. & Mrs. Idly","Plain Dosa"
"Mr. & Mrs.Idly","Plain Dosa"
"SV TIFFINS","Plain Dosa"
"Raghavendra Tiffin HSR","Plain Dosa"
"Raghavendra Tiffin - KRM","Plain Dosa"
"Mad Jack Continental & South Indian","Plain Dosa"
"Sambar Cafe","Plain Dosa"
"Radhey Sweets ( Swarn Jayanti Nagar)","Plain Dosa"
"SAMBHU DOSA","Plain Dosa"
"Asha tiffins","Plain Dosa"
"sudha darshini","Plain Dosa"
"MDP Coffee House","Plain Dosa"
"Sri Vinayaka 99 veriety Dosa Corner","Plain Dosa"
"Sri Udupi Park","Plain Dosa"
"Sri Sarathy Bhavan","Plain Dosa"
"hsr slv fast food","Plain Dosa"
"Mysore Express","Plain Dosa"
"Sri Raghavendra Hotel","Plain Dosa"
"Idly Vidly","Plain Dosa"
"Love Cafeteria","Plain Dosa"
"Nair Foods","Plain Dosa"
"Sri Durga 99 Variety Dosa","Plain Dosa"
"Sri Balaji Mess & Tiffin","Plain Dosa"
"Mithila Sweets and Bakery","Plain Dosa"
"Biryani Point","Plain Dosa"
"D-JAIL HOUSE","Plain Dosa"
"SRI ADIGA KITCHEN","Plain Dosa"
"Appam - Flavors Of Karnataka","Plain Dosa"
"Sportz Cafe","Plain Dosa"
"DADA DOSA","Plain Dosa"
"indan dosa cafe","Plain Dosa"
"Southinn","Plain Dosa"
"Prayag Restro & Cafe","Plain Dosa"
"South Masala (pure veg)","Plain Dosa"
"Midnight Tiffins","Plain Dosa"
"South Leaf","Plain Dosa"
"Chota Bhim Dosa","Plain Dosa"
"Annapurna Andhra Mess","Plain Dosa"
"South Kitchen","Plain Dosa"
"South Indian Junction","Plain Dosa"
"South Indian Foodies","Plain Dosa"
"South Express","Plain Dosa"
"South Cafe The Taste Of Ahmedabad","Plain Dosa"
"Seven Spices","Plain Dosa"
"South Amma","Plain Dosa"
"LALAJI KA DOSA CAFE & CUISINE","Plain Dosa"
"Jai Shree Mahakali Idli Dosa","Plain Dosa"
"Agarwal chaat bhandar","Plain Dosa"
"Anna Samrat Restaurant","Plain Dosa"
"Chetan Fast Food Corner","Plain Dosa"
"Aha Savouries","Plain Dosa"
"SN Refreshments","Plain Dosa"
"Zopadi Canteen","Plain Dosa"
"Anant Restaurant","Plain Dosa"
"Anandam","Plain Dosa"
"Balaji Bhaji Pav Dosa","Plain Dosa"
"SLV Tiffin Center","Plain Dosa"
"Durva Foods","Plain Dosa"
"Brahmins' Thatte Idli","Plain Dosa"
"Shiv Dosa","Plain Dosa"
"Vaango","Plain Dosa"
"OH MYSORE CAFE","Plain Dosa"
"Uk foods","Plain Dosa"
"Shiv Shakti Fast Food Corner","Plain Dosa"
"Udupi Vihar Veg","Plain Dosa"
"Tiwari Bombay Food Court","Plain Dosa"
"Sigdi Dosa","Plain Dosa"
"Dosa Planet","Plain Dosa"
"Dosa King","Plain Dosa"
"Dosa Kart","Plain Dosa"
"Dosa Junction","Plain Dosa"
"HOTEL AL-NOOR","Plain Dosa"
"Udupi Shree Darshini Restaurant","Plain Dosa"
"Shree Sai South Indian Hotel","Plain Dosa"
"P. Vasu Food Court","Plain Dosa"
"Shree Aayojan's Idli Stop","Plain Dosa"
"Unavu South Indian","Plain Dosa"
"UMA CHAT BHANDAR.","Plain Dosa"
"C/O Dosa","Plain Dosa"
"Aman Fast Food","Plain Dosa"
"Best Fast Food","Plain Dosa"
"Aura Courtyard by Marriott","Plain Croissant"
"Lavender Bakery by Fresh Pressery","Plain Croissant"
"Mango Junction","Plain Chocolate Fudge 500 Grams"
"JALARAM PATRA HOUSE","Plain Chienese Samosa 12 Piese"
"Sm Food","Plain Cheese Butter Sandwich"
"Mantra's Donne Biryani","Plain Biryani Rice"
"S Usha Star Restaurant","Plain Biryani"
"Trinayani","Plain Biryani"
"Royal Food Bistro","Plain Biryani"
"Ambur Star Dum Biryani","Plain Biryani"
"Kolkata Hazi Biryani","Plain Biryani"
"Yum Yum Vada Pav No.1","Pizza Puff"
"Globo Combo","Pizza Meal For 2"
"D&D pizzas and shakes","Pizza Combo"
"CHICAGO PIZZA","Pizza Combo"
"Chicago pizza","Pizza Combo"
"Bread Meal - Fast Food Corner","Pizza Burger ( Cheese )"
"Shawarma wala","Pita Bread"
"Jigi'S","Pistachio [Vegan And Sugar Free] [500 Ml]"
"Cream Chemistry hennur","Pistachio"
"MUMBAI KULFI AMBUR","Pistachio"
"THE GARAGE HOUSE","Pistachio"
"Santushti","Pistachio"
"AADD M AADD B","Pista Special Thick Shake"
"The Breakfast Nook","Pink Lemonade"
"Hotel Polo Towers","Pineapple Raita"
"Hotel Moti Mahal","Pineapple Raita"
"Maharaj Dalvada","Pineapple Raita"
"Marwar sweets","Pineapple Raita"
"HOTEL PUNJAB","Pineapple Raita"
"Anklife Foods","Pineapple Raita"
"New Ashokam Bhojnalaya","Pineapple Raita"
"Sky Deck","Pineapple Raita"
"@Mango","Pineapple Raita"
"Hotel Ruby","Pineapple Raita"
"Curries","Pineapple Raita"
"Citron","Pineapple Raita"
"Nini's Kitchen","Pineapple Raita"
"Hotel Taj heritage","Pineapple Raita"
"Dheemi Aanch","Pineapple Raita"
"Spinning Tree Multi Cuisine Cafe","Pineapple Raita"
"Bhagat Halwai - Nehru Nagar (Civil Lines)","Pineapple Pastry (1 Pc)"
"NATURAL CAKE","Pineapple Pastry"
"Mamta Cake and Bakes","Pineapple Pastry"
"Kamdhenu","Pineapple Pastry"
"Dream Puff","Pineapple Pastry"
"The Celebration Bakery","Pineapple Pastry"
"AHUJA SWEETS AND BAKERS","Pineapple Pastry"
"Cake Bakery Banda","Pineapple Pastry"
"Deepak Fast Food","Pineapple Pastry"
"Cake N Bake","Pineapple Pastry"
"Mamta Sweets and Bakes","Pineapple Pastry"
"Pandya Ice World","Pineapple Lassi"
"Rinki Bhojanalaya","Pineapple Juice (200 Ml)"
"Satvaras","Pineapple Juice"
"Sansar Cake Shop","Pineapple Eggless Cake (1 Pound)"
"Cake Paradise","Pineapple Delight [450gms]"
"G.S Dabeli Vadapav","Pineapple Chocolate Mix"
"PRITI VISHAL JAIN","Pineapple Cake Half Kg"
"THE CAKE BASKET","Pineapple Cake [Per Pound]"
"Kabir Cakes And Bakers","Pineapple Cake (500 gms)"
"Jain Confectionery","Pineapple Cake (500 gms)"
"Bakery House","Pineapple Cake (500 gms)"
"Gifts Bag Cakes & Bakes","Pineapple Cake (1 Pound)"
"TAZ CAKES N MOUSSE.","Pineapple Cake (1 Pound)"
"Pooram Cake Plaza","Pineapple Cake (1 Pound)"
"The Cake Corner","Pineapple Cake"
"Bakers Den","Pineapple Cake"
"Cakes N Cakes","Pineapple Cake"
"Radhika Baker's Restaurant's","Pineapple Cake"
"European Bakery","Pineapple Cake"
"Birthday Cakes","Pineapple Cake"
"Frozen Magic","Pineapple Cake"
"Shiv Misthan Bhandar (SMB)","Pineapple Cake"
"D.K BAKERY","Pineapple Cake"
"Bon Bakesters","Pineapple Cake"
"Lovyam Sweets And Restaurant","Pineapple Cake"
"Top-In-Town Baker's","Pineapple Cake"
"Chocolates N Cakes","Pineapple Cake"
"karuna sweets","Pineapple 1kg"
"Adinath Juice","Pineapple"
"Revelry The Cake House","Pineapple"
"zu zu cafe","Pineapple"
"Royal Parlour","Pineapple"
"Chillax","Pineapple"
"SAARA JUICE POINT","Pineapple"
"Ice Cream Conection","Pineapple"
"Coco Island","Pineapple"
"Yashu Juice & Snacks","Pineapple"
"Wee Meals","Pineapple"
"Chai Ngo","Pineapple"
"Wawa Fastorant And Bakery Shop","Pineapple"
"Cream Chemistry","Pineapple"
"Juice factory","Pineapple"
"Punjabeez Cake Shopee","Pineapple"
"Cakes by TBH","Pineapple"
"Shree Karnavati","Pineapple"
"Shree Khodiyar Ice Gola","Pineapple"
"Amazing Kati Rolls","Pineapple"
"Om Sai Lassi And Juice Corner","Pineapple"
"OliveU.Fit - Salads & More","Pineapple"
"Thottathil Restaurant","Pineapple"
"The Shawarma Man","Pineapple"
"SRI BALAJI FRESH JUICE CORNER","Pineapple"
"THE JUICE D CAFE","Pineapple"
"Bholenath Ice-cream Kulfi","Pineapple"
"Bharka Devi Ice Cream","Pineapple"
"FROST AND ROLL","Pineapple"
"12th Main Restaurant","Pindi Chole"
"Regent Club","Pindi Chole"
"Chaap Waale Veer Ji","Pindi Chole"
"Shades Of Shake","Pinacolada"
"D PIZEERIAS'S","Pesto Salad"
"Si Pizza","Pesto Penne"
"OJI BISTRO","Pesto Penne"
"Green Dot Pizza","Pesto Paneer Pizza"
"Real Sugar And Spices","Pesto"
"Dropout Cafe","Pesto"
"Jugaadi Spot","Peri Peri Vada Pav"
"BBQ on Wheelz","Peri Peri Tikka"
"Biggies Burger","Peri Peri Shawarma Burger"
"Zwarma - Haralukunte","Peri Peri Shawarma Burger"
"Amar Non-veg Point","Peri Peri Shawarma"
"Parinde Cafe","Peri Peri Sandwich"
"Aaska Food Corner","Peri Peri Sandwich"
"PIZZA HOUSE","Peri Peri Sandwich"
"Burger Wale","Peri Peri Sandwich"
"Dipak Kumar Vaniya","Peri Peri Sandwich"
"Bole To Vadapav","Peri Peri Samosa"
"Pizza palette","Peri Peri Prawns Pizza Medium"
"THE MOONG ZONE","Peri Peri Potato"
"DC CAFE","Peri Peri Pizza"
"Juxpux","Peri Peri Pizza"
"Pizzeria By Mango Masala","Peri Peri Pizza"
"Martinoz Pizza","Peri Peri Pizza"
"Tea Pea Cafe","Peri Peri Pizza"
"Chhonk","Peri Peri Paneer Tikka"
"Rt Momos And More","Peri Peri Momos Chowmin Momos"
"Meet N Melt Pure Veg Restro Cafe","Peri Peri Mayo"
"SIZZLLY CHICKEN (KING OF CRISPY)","Peri Peri Mayo"
"Frankie On Fire - Food Orbit","Peri Peri Fries"
"Urban Foodie","Peri Peri Fries"
"Frankie On Fire","Peri Peri Fries"
"The Frisk Whisk Bakery & Cafe","Peri Peri Fries"
"Chandnee Chowk","Peri Peri Fries"
"Cafe Creme","Peri Peri Fries"
"Coffee n cuisines","Peri Peri Fries"
"Sweet-Brew","Peri Peri Fries"
"Brown Burger Co.","Peri Peri Fries"
"Hl Frankie","Peri Peri Fries"
"Burglars","Peri Peri Fries"
"The Burger Project","Peri Peri Fries"
"The Bakers Holt","Peri Peri Fries"
"the burger.com","Peri Peri Fries"
"Shree Fast Food","Peri Peri Fries"
"Burger Stops","Peri Peri Fries"
"Honey Cube","Peri Peri Fries"
"Kjo's","Peri Peri Fries"
"Chix Bang's Shawarma","Peri Peri Fries"
"Cad M Cad B Cafe","Peri Peri Fries"
"Homies Kitchen","Peri Peri Fries"
"Zomoz - The Momo Company","Peri Peri Fries"
"Tender Greens","Peri Peri Fries"
"Bake And Grill","Peri Peri Fries"
"Go italia","Peri Peri Fries"
"Tea series","Peri Peri Fries"
"Tea Kahani","Peri Peri Fries"
"Twister Fast Food","Peri Peri Fries"
"Tea & Bite Cafe","Peri Peri Fries"
"The Engineer Sandwich Wala","Peri Peri Fries"
"Burger Brunch","Peri Peri Fries"
"taste of burger","Peri Peri Fries"
"Burger Box","Peri Peri Fries"
"Oven & Grill","Peri Peri Fries"
"Shocolatery","Peri Peri Fries"
"The Burger Coast (TBC 2)","Peri Peri Fries"
"Franky Station - Sindhubhavan","Peri Peri Fries"
"Frankly The Best - HotDog Co.","Peri Peri Fries"
"Burger bistro","Peri Peri Fries"
"Frankies And Fries","Peri Peri Fries"
"Frankie Station","Peri Peri Fries"
"Swat Coffee","Peri Peri Fries"
"Cold Brew Company","Peri Peri Fries"
"The Himalayan Momo Company","Peri Peri Fries"
"Insta Pizaa","Peri Peri Fries"
"Cafe Durga","Peri Peri Fries"
"Wrap.Com","Peri Peri Fries"
"Mr Pizzeria","Peri Peri Fries"
"Burgerlicious","Peri Peri Fries"
"The Hungry Nomad","Peri Peri Fries"
"The Hungry Tour","Peri Peri Fries"
"Bhookh Lagi Hai","Peri Peri Fries"
"Bhyankar Burgers","Peri Peri Fries"
"THE JUICE FACTORY","Peri Peri Fries"
"Big Bite Burger","Peri Peri Fries"
"Hogger's Den","Peri Peri Fries"
"Sallow Hotel & Restaurant","Peri Peri Fries"
"al baik 2","Peri Peri Fries"
"Biggies Burger : All Veg","Peri Peri Fries"
"Rocksoul Cafe & Bistro","Peri Peri Fries"
"Food Adda","Peri Peri Fries"
"Will Way Burgers","Peri Peri Fries"
"Crazy Bao","Peri Peri Fries"
"R K'S KITCHEN","Peri Peri Fries"
"CHAI NAGRI","Peri Peri Fries"
"Brews and Burgers Bistro","Peri Peri Fries"
"Chai Nagri","Peri Peri Fries"
"The Mad House Cafe","Peri Peri Fries"
"Chai Coffee Point","Peri Peri Fries"
"Tipsy Bull- The Bar Exchange","Peri Peri Fries"
"Crosta Della - Food orbit","Peri Peri Fries"
"Chaat Nawabi","Peri Peri Fries"
"KRUST","Peri Peri Fries"
"Vada pav king","Peri Peri Fries"
"The Momos king","Peri Peri Fries"
"Vada pav no 1","Peri Peri Fries"
"Louis Burger","Peri Peri Fries"
"THE AROMA ESPESSO BAR","Peri Peri Fries"
"The Night Cafe","Peri Peri Fries"
"The Nukkad Wala","Peri Peri Fries"
"Delicious N Delight","Peri Peri Fries"
"K K Takeout","Peri Peri Fries"
"The Pizza town","Peri Peri Fries"
"The Real Momo's Roll's","Peri Peri Fries"
"SPACEBAR SPORTS CAFE","Peri Peri Fries"
"Lassi Magic","Peri Peri Fries"
"Boscos","Peri Peri Fries"
"Shawarma Sultan","Peri Peri Fries"
"LASSI DAY CAFE","Peri Peri Fries"
"Indiana Exotica","Peri Peri Fries"
"Lantterns By Raisin","Peri Peri Fries"
"The Sandwich Box","Peri Peri Fries"
"Hotel Meghnand","Peri Peri Fries"
"Pizza World","Peri Peri Fries"
"Shakes Theory","Peri Peri Fries"
"Pizza Never Lies","Peri Peri Fries"
"Firangi Eatery","Peri Peri French Fries"
"Guddu's ice cream, shakes and more","Peri Peri French Fries"
"Indie Brewed Cafe","Peri Peri French Fries"
"Coffee Stand","Peri Peri French Fries"
"Top & Top Bakers","Peri Peri French fries"
"BIGGUY'S WINGERY","Peri Peri Crinkle Fries"
"Wingman","Peri Peri Chicken Strips"
"Mr Momo","Peri Peri Chicken Steamed Momos [8 Pieces]"
"PASTA WORLD","Peri Peri Chicken Pizza"
"The Raat Cafe","Peri Peri Chicken Pizza"
"Yumino","Peri Peri Chicken Pizza"
"Ludos Pizza","Peri Peri Chicken Pizza"
"Pizzawaala","Peri Peri Chicken Pizza"
"PERKY PIZZA","Peri Peri Chicken Pizza"
"THE CONTINENTAL KITCHEN","Peri Peri Chicken Pizza"
"GOPIZZA","Peri Peri Chicken Pizza"
"Bombay Pizzawala","Peri Peri Chicken Pizza"
"Elephant Cafe","Peri Peri Chicken Burger"
"Shore Thang","Peri Peri Chicken Burger"
"Lord Of Wings","Peri Peri Chicken Burger"
"BurgerHaus Gourmet Burgers","Peri Peri Chicken Burger"
"Desi Burgers","Peri Peri Chicken Burger"
"BLR Fusion Kitchen","Peri Peri Chicken Burger"
"Akki's Magic Food","Peri Peri Burger"
"The Spaceman Cafe","Peri Peri Burger"
"ORIGINAL KORMANGALA 99 VARATIES OF DOSA","Peri Peri Burger"
"Brown Burger Co","Peri Peri Burger"
"Akki's Food","Peri Peri Burger"
"Uncle's Butter Chicken","Peri Peri"
"The Black Olive","Peri Peri"
"Casscabel","Peri Peri"
"Caferita Cafe","Peri Peri"
"Fakiraas Burger","Peri Peri"
"The Round Slice- Be Pizza Perfect","Peri Peri"
"Om Night Food","Peri Peri"
"Kitabi Coffee","Peri Peri"
"House Of Cheese","Peri Peri"
"Wood Fire Pizza","Peri Peri"
"Quickies-Burgers, Biriyani and More","Peri Peri"
"La Black Beurre Cafe","Peri Peri"
"puny bUNy","Peri Peri"
"Spaniard Pizzeria","Peri Peri"
"The Mangalorean","Pepsi 250ml"
"Raje de mashoor special Kulche and Bhature","Pepsi [750ml]"
"Monginis Cake Shop  Ambavadi","Pepsi [750 Ml]"
"Thali Wala","Pepsi"
"Onesta","Pepperoni Pizza"
"Fiero! Pizzeria","Pepperoni Pizza"
"Donne biriyanis house","Pepper Chicken"
"The Pet People Cafe","Penne Pasta"
"Alinea Restaurant & Banquet","Penne Pasta"
"Calorie House","Penne Pasta"
"Beans N Leaves","Penne In Alfredo Sauce"
"Tea'se Me Cafe","Penne Arrabbiata Pasta"
"Wandercrust","Penne Arrabbiata"
"BROTHER BARLEY BREWING COMPANY","Penne Alfredo"
"Joker Cafe","Peas Pulao"
"SLV Ragigudda","Peas Pulao"
"Jay shree bholenath center","Peas Pulao"
"De Royale Spice restaurant","Peas Pulao"
"Udupi Garden","Peas Pulao"
"The 19 Restro","Peas Pulao"
"Apna Punjab Parattha","Peas Pulao"
"TRULY NORTH INDIAN BY CHEF TALK","Peas Pulao"
"Priyadarshini Veg","Peas Pulao"
"The Baker's Dozen","Peanut Butter Cookies"
"Reveur Chocolates","Peanut Butter Cookies"
"The Baker'S Dozen","Peanut Butter Cookies"
"California Burrito","Peach Iced Tea"
"Bao to me","Peach Ice Tea"
"Kulfi Mela","Pcs"
"Mr. Prince Paubhaji","Pav Bhaji Oil ( 400 Gms )"
"The Red Zone Family Restaurant","Pav Bhaji"
"THE INDIAN SAMOSA","Pav Bhaji"
"Swati Snacks","Patra"
"Laxmi Ganthiya Rath (Nehrunagar)","Patra"
"Das Surti Khaman","Patra"
"Mehta Chawana & Sweets Center","Patra"
"Hitesh Sweets","Patra"
"Jay Jalaram Khaman House","Patra"
"Mandvi Fast Food","Patra"
"Shree Rasavat Farsan House","Patra"
"Unnati Food and Dairy Parlour","Patra"
"Jalaram Khaman","Patra"
"Kutchhi Nagri Khaman House","Patra"
"Shree Umiya Gathiya (Jamnagarwada)","Patra"
"Kamla","Patra"
"Shukla Ark Bhojnri","Patra"
"CHARGER FOOD CORNER","Patiyala Plain Lassi"
"BHAGWAN DAS PRAHLAD DAS & SONS","Patisha"
"HR Sweets","Patisa (1 kg)"
"Priya Mishthan Bhandar","Patisa-Soan Papdi"
"Samosazz The Fun Triangle","PASTA PIZZA"
"Ring Bell Restaurant - Pure Veg","Pasta"
"AAVYA HOME FOOD","Pasta"
"Annapurna Sweets","Pasta"
"Terra Bites","Pasta"
"The Chozhan Mess","Parotta (2 Pcs)"
"MADE IN IDLY","Parotta (2 Pcs)"
"Sri Krishna Nalapaka","Parotta"
"THE A 1 KITCHEN","Parotta"
