"name","sum"
"New Grun And Mellow","421"
"The DC's Pizza","79"
"Meal Square by Late Night","171"
"Spice Stories","8792"
"FRESH MEALS","1324"
"Holige Mane","3023"
"Nanys Bakery","185"
"HOME RUN CAFE","194"
"Burger Boss","657"
"Riya Imperrial","5403"
"Ram Aur Shyam Ras Golawala","6514"
"Lazeez Momos","2611"
"Veni Akka Kadai","15875"
"The Banarasi Cafe","6713"
"Glace & Yumm","667"
"Lazeez Chacha","528"
"Mio Amore","4162"
"FLAVOUR's","505"
"Sri Amman Chettinad Hotel","60"
"Chowrastaa","1718"
"One-2 Restaurant","981"
"Bikaner Misthan Bhandar","9624"
"THE CALCUTTA CRAVING","356"
"Coast at JP Nagar","681"
"Meet Street Bike Bbq","8769"
"Andhra Ruchulu Gach","10412"
"Chinu food","153"
"THE FOOD LAND","3120"
"CRISPO CAKE JUICE","2157"
"Verma's Bakery - Mehrauli","264"
"Santosh pavbhaji &chainise center","1657"
"Pizza Park","8759"
"Healthy Conclusion","439"
"A Smiley Kitchen","1176"
"ARABIAN CHICKEN SHAWARMA","213315"
"MITHAI EXPRESS","42"
"Crystal Restaurant Plaza","1546"
"Gupta Resturant","45481"
"AMMAMA'S HOME FOOD","13069"
"Bhukha Sher","29236"
"New Fast Food Van","144"
"D REPUBLIC BAKERY AND CHINESE","755"
"Sugar Cane Juice Exclusive","93"
"AMRITSARi KULCHA","792"
"baseraa dhaba","9190"
"The Food Bowl","500"
"Ghar Jaisa 3.0","306"
"Home Pizza Bite","5199"
"French-The Oven cake story","144"
"La Kababiyaa","194597"
"The Fusion food","18606"
"Foodies 24","204"
"Manpasand Bhojnalay","1889"
"ASHOK PAN HOUSE","1829"
"RAJDHANI FASTFOOD","523"
"Maggi House","417"
"REAL CHINESE HOTEL","2023"
"Shiv Shankar Shudh Punjabi Vaishnav Bhojnalaya & Brothers","694"
"Rolls club","546"
"Lassi shop Mogappair East","11657"
"The 7inch pizza","93"
"NEWBOWL BIRYANI","208"
"Shri Sagar","389"
"Double Deck Food Court","236"
"Cheesiaano pizza","17366"
"UNCLE CHICKEN SHAWARMA ROLL","2171"
"Bliss Punjabi Paratha House","6116"
"banke bihari food and snacks","361"
"THICKSHAKE","338"
"DELIVERY JACK","444"
"Hotspot","13065"
"City Kitchen","1787"
"FRIENDZONE Chats & Savouries","361"
"zwarma (The Taste of paradise)","2968"
"Pizza Corner","28217"
"Roofmates","3065"
"Aapka Apna Kadhi Kachori","4171"
"MYSURU SAVIRUCHI","7056"
"Coastal Delight","3537"
"Shakes and Chinese","9394"
"Angadi Kitchen","301"
"ARAB CREST","2431"
"PARTY FOWL","1143"
"NEW HONG KONG GARDEN","5431"
"MUNIRKA WALA","1588"
"Sardar Ji Express","792"
"ME-2 Fast Food","2176"
"MY PAPA'S KITCHEN","78593"
"Chill Tummy Shake","83"
"KILL HUNTER","0"
"Kaayal","375"
"Indian Smoke Restaurant","861"
"Chin Chin - The Residency","153"
"BIRYANI PLAZA","2894"
"The Old Madras Cafe","46"
"Kanha Cake And Bakers","810"
"Cafe 1St Story","444"
"NICE WITH CHINESE","7269"
"Chilled N Chilli Family Restaraunt","347"
"AMBUR BISMI BIRIYANI AND FAST FOOD","435"
"Buzz A Pizza-Wood Fired Pizzas","380"
"Food Naara","6454"
"Ganesh Food Court Extn","222"
"Monkey Fries","9968"
"Vinayak Savji - Tilakwadi","1245"
"TAWA MAFIA","8306"
"YUMMY IN TUMMY","65"
"Super dragon","236"
"Konkan Curry House","1829"
"ZAIKA UTTAR DA","97"
"HABIBI 2.O","106"
"Sip and Bite Kitchen","1144"
"Hanu King's Burger","25209"
"Chai Pani Sutta","6810"
"Tastydots","14444"
"Mushroom loka","486"
"PUNJABI JUNCTION","163694"
"Aunt's kitchen","241"
"GREEN LIGHT HUB HOME MADE","111"
"Madurai kari dosai","19278"
"M.D KEBAB CENTRE","903"
"La Prezzo Woodfire Pizza","1315"
"ROHINI 11","15463"
"Delight Express","12694"
"Bhatti Ki Rasoi","333"
"ANAND FAST FOOD","8218"
"Baker X","454"
"KEBAB ISLAND","954"
"Chicken shawrma adda","301"
"Little Saigon","671"
"BANDA BAWAARCHEE","1593"
"Parotta  factory","28764"
"SS Hyderabad Biryani","106"
"Wall Street Shack","3014"
"DALISAY BAKERS","69"
"Sagar Matha Cuisine","78398"
"Amazing Asia","931"
"Kajal Hotel","102"
"Punnu da Dhaba","23917"
"Afghani Tandoori Hub","1889"
"BAKED","241"
"SPICEY EATS","884"
"Curry House CoCo Ichibanya","7486"
"Spicy Pizza Corner","18199"
"SRI NIDHI FOODS","926"
"Chaat Walk","26454"
"The Mystery Of Taste","250"
"9X Restro'","1222"
"Samyu's Cafe","13708"
"Faijiya restaurant","852"
"KOHINOOR HOTEL","13037"
"Fried Bowl","102"
"0","1861"
"MR SINGH TANDOORI HUT","148"
"Bhabhi Nu Rasodu","1880"
"NUA Cafe","838"
"Devi Chinese","2194"
"APPU'S KITCHEN","9194"
"Shalimar Restaurant","658"
"Ess Jee Shawarma","269"
"Shree Jalaram Parotha House","505"
"Shri Ganesh Chat Bhandar","102"
"SWEETY KITCHEN","74"
"Plating Perfect - A Fine Dine Luxary","144"
"Chakhna Lo India","1463"
"Yummy Treats","208"
"Iora Kitchen","9565"
"Delicious Meals","65"
"Chichabas Taj","667"
"Marigold - Fine Dine Restaurant","6884"
"Dahi Ke Sholay (INA)","1120"
"F & C Chaap","13097"
"chhabra corner","79"
"Murthal Dhaba","185"
"Silly Pizza","2477"
"Udipi Sri Ganesh Bhavan","324"
"Mr and Mrs Pulaos","79"
"Ar Biriyani","65"
"CAKE INNOVATION","40949"
"Goli Vada Pav No- 1","347"
"Udupi Shanthi Sagar","245"
"9 Nomadic Eats","134"
"KAMAT TIFFINS (KT48)","2699"
"DEJA BREW","17380"
"English thyme restaurant","1176"
"Pandit Ji Sweets & Restaurant Dairy","93"
"Hot Grill Barbecue Restaurant And Cafe","222"
"Chotte Lal Dhaba","3310"
"THE SHAWARMA JOINT","241"
"Best Biryani 24.hrs","162"
"Faasos - Wraps & Rolls","1327852"
"Madurai Sathya Vilas","93"
"The White Fine Dine & Rooftop Cafe","431"
"Mobile Fish Parlour","4069"
"Chawla 40","162"
"River Spice Kitchen","157"
"HOME KITCHEN","11300"
"Hot Treat","3130"
"SARDAR JI PUNJABI RESTAURANT","287"
"7Th Heaven Bakery","26477"
"Nanka's Kitchen","1708"
"China Delicious","231"
"Pizza Square (Mint 1 St)","3130"
"Kebab Nation","67616"
"3B's cafe","2593"
"Vrindawan Sweets","778"
"Crunchmill Western Food","699"
"NIRMAL 24X7 FOOD MULTIKITCHEN","11106"
"Hotel Mahaveer Paradise","1736"
"The Crust Pizza","130"
"Hot & Fresh","1519"
"Perambur Tiffen Spot","185"
"Avyan's Restaurant","1329"
"Tree of Life","398"
"Gravy Momos and Pasta","569"
"Barbican Grill","204"
"Drippy Tongue","657"
"Arabain Shawarma","2611"
"Red Pepper Restaurant","90565"
"DRUK STREET","523"
"ADITHYA HOTEL","435"
"Airlines Hotel","352"
"Erode Kongu Parotta Stall","38611"
"New Athidhi Grand","4829"
"Infinity Cafe and Restaurant","231"
"CAPTIONS BURGER","148"
"Santosh Dhaba Super Fast","5393"
"JK EDEN HUTS RESTAURANT","1222"
"Big Mugs","3560"
"AL Rayaaan Arabian Manthi","167"
"Bharathi Mess","65"
"Raju's Chacha Ji Dhaba","398"
"Cocabake foods","736"
"Juice Box","5746"
"Kebab Souk","481"
"Dilli Chandini Chowk","213"
"Road Roller","6676"
"Calicut Restaurant","3398"
"Gladiator nutrition and food zone","278"
"Recipe Restaurant","3671"
"Yashoda's","963"
"Night View","245"
"Salt And Spices","625"
"Kumar Rasoi","162"
"HEALTHY WAY","375"
"Tea Smith Cafe","495"
"Bombay Chowpati","4852"
"Midnight Chakhnas","1792"
"LISA PIZZA","37542"
"The Kebab Tales","532"
"Annanagar Vaishanava's - Thattu Idli Kadai","278"
"King Chaat Wale","218"
"Hotel Sharjah","1236"
"Anand Bhartiya Thali","2273"
"Matka Meal","125"
"My Second wife's kitchen","560"
"Maa Annapurna Tifin Center","130"
"Fusion By Hotel Mayura","1657"
"MADOUK CAFE","3565"
"Anam Ki Rasoi","1458"
"Hotel raj mahal","1037"
"Rhythm By Hotel Harmony","1236"
"Blenders & Coolers","550"
"Matka Bawarchi","74"
"Healthy Nutrition Diet","129"
"HK SNACKS CORNER","26269"
"DESI MOMO","7255"
"K'S Meals on Wheels","8833"
"SMOKE HOUSE DELI","4106"
"DELHI WALLE","815"
"LUCKNOW SPECIAL CHAAT","14574"
"iD (Contemporary South Indian)","1074"
"Yashoda Fresh Tea","343"
"Chinese BAE","27207"
"AMMAS KITCHEN","560"
"Via Roma","0"
"DFC","151778"
"KITCHEN CHATKARA","718"
"Pizza Treat","62676"
"TEA TWENTY COFFEE SHOP","144"
"Bubblittle","259"
"OPTIMUM TASTY BITE","343"
"Aditya Restaurant","2551"
"Veda Tiffins","2819"
"New Durga Madrasi Dosa Center","26481"
"Chai haat","6111"
"Kaaraikudi chettinad restaurant","93"
"Yours choice","157"
"Fitchai","111"
"Marwari Bakers & Namkeen","667"
"Homeland Chataka","894"
"MUSEE TASTY RIDES","125"
"KEBAB KA BAAP","69"
"Sona Sweets Epicuria Mall","79"
"Savji Donne Biriyani","509"
"Yummy Express","39269"
"AYYAPPA FOOD COURT","2671"
"Chocoholics Cakes","139"
"Pandit Ji Paratha Corner","1880"
"Basanti Cabin Hotel Cum Restaurant","907"
"Jai bhole sankar bhojnalaya","1565"
"Frispy Fresh N Crispy","153"
"Amitos Cafe","74"
"TEA PALACE","38991"
"The Mystique Cafe","138736"
"Brothers Pizza Junction","227"
"Ladli Fast Food","2412"
"SOUTHERN SPICY","333"
"Celebration Restaurant","28269"
"The Dhungar Company","162"
"Bavyesh Home Foods","7736"
"BUT JET INN","11875"
"Padmaavati Bhojnalay","875"
"Paris Pizza And Burger","5032"
"Maa Annapurna Food Service","190"
"HUNGRY BUN","12468"
"JAI BHAVANI TIFFIN CENTER","4676"
"Four Street Cafe","2454"
"Daily Rolls","3056"
"Dwarka namkeen corner","74"
"HUNGER  MONKS","1079"
"Jaiswals Kitchen","116"
"Jassi's Breads & Bytes","3833"
"Momo Cafe","18051"
"The Addiction","954"
"HOB AND CHIMNEY","80912"
"CITY PIZZA","1361"
"Red Chilli Fastfood Restaurant","79"
"Hashtag Waffles Express delivery","1241"
"RAJ BAKERY & CAKE","6273"
"Bong Babu Restaurant","8690"
"PDS Natraj chaat & snacks","51"
"Barbie Food Stall","1028"
"Mana Dosa","22667"
"Sharma & Vishnu Fast Food - MP Nagar","870"
"NATIONAL FAST FOOD","796"
"Old Punjab Dairy & Sweets","236"
"Ardor","157"
"Shree Aai Ji Restaurant","463"
"Just A Minute","11106"
"Laziz Restaurant","29695"
"MADHUSHALA-A FAMILY LOUNGE & BAR","0"
"Byond Biryani","148"
"Uttam's Bakery & Restaurant","93"
"Bowljini","370"
"Litttle Chef Agartala","514"
"Rkfoodies","519"
"Bowl Meals And More","241"
"Nellai Al - Niyaz","352"
"Raj Rasoi Sweets & Restaurant","2065"
"The sandwich castle","21000"
"CHAI NAASTA","13264"
"OM SAI RASOI","1042"
"TWIST ROLL","398"
"Frooze","13278"
"Biriyani Cartel","1000"
"Celebrita","181"
"KADALA TARANGA","139"
"UTSAVA GRAND","222"
"Hot & Spot Fast Food","231"
"COOL 9","269"
"Bismi Biriyani And Fast Food","93"
"New York Slice","2662"
"GOBIND CHIC-INN","12306"
"Street Momos And Rolls","6468"
"NOVELTY'S CAFE - 106","2116"
"Desert Shawarma - Valasaravakkam","296"
"Oliveo by Khavish","79"
"Saladisht","2264"
"AMAN HOTEL","69"
"Pizza. Com","60"
"DV'S BIRYANI","977"
"FARM TO PIZZA","5292"
"FOOD PALACE","8699"
"HOTEL AKSHATHARAA","120"
"Kolkata Chat House","19648"
"KHAO PARATHA (JARA HATKE)","8472"
"The chef's kitchen","417"
"BURGER ADDA","1023"
"Zarna'S Kitchen","1148"
"POJO","833"
"The Shiraz","35287"
"Satpura","1282"
"Espresso Drive","667"
"CHASSKAA","3481"
"WORLD OF CURRYS","46"
"Udupi Vihar Veg","903"
"BOWL LICIOUS","286926"
"Stavik Tiffin Express","17708"
"Hotel Rama Krishna Andhra Mess","0"
"Eat Hot Chinese fast food","843"
"Chinnaiah Chettinad Hotel","167"
"Malnad Nati Style","1421"
"WOW PIZZERIA","20352"
"ANNA PURNA RASOI","398"
"Amritsari Food Platter","58602"
"OU Shawarma","1384"
"All Time Meal","90560"
"Baker's Lounge","105292"
"The Mad Bakers","1741"
"Yo Frankie (Pure Veg)","4005"
"TOM UNCLE","0"
"EGG WORLD SANDWICH","1861"
"udupi upahar","3690"
"Noodles Avenue","3273"
"CREAM'S CAFE","56"
"Momo Magic Cafe","50038"
"Gulbargas Mama Puri and Special Snacks","116"
"Elevate58","3236"
"Sree Food Court","1255"
"CHANCHAL RESTAURANT","5588"
"The Eatery At Four Points By Sheraton","384"
"ARAB HOUSE","120"
"CUE- Culinary Urban Experience","0"
"Nagari Swad","338"
"Honey & Cherry The mocktail House","17787"
"THALAPAKATTU BRIYANI & FASTFOODS (SEMMANDALAM)","3523"
"AMRITSARI FOOD","5926"
"Cafe 777","93"
"Pandit ji maggi wale","46"
"Omelette Area","6361"
"Rocking Rolls","384"
"Mini Punjab","5070"
"SNACK HUB","111"
"Natraj Special Kulfa","269"
"LAZEEZO","29009"
"Mr Mirchilal Samosa","486"
"JK TIFFINS","213"
"food mistri","8648"
"Chicken Hut","11588"
"Simple Menu","190"
"Mehfil-E-Swaad","389"
"SHAHI MANDI","306"
"Diet Gym Food Cafe","190"
"Ice Cream Plaza","1264"
"Choice Of Pizzas","2028"
"24/7 Rolls Adda","449"
"TAG USA","241"
"Farmer's City","1065"
"Royal Max - Sakchi","514"
"Classic Ice Cream Parlour","426"
"K.R. Catering Services","57657"
"S G N and Co Kabab Corner","153"
"Hastus - Timeless delicacies","7454"
"Wow! Shawarma","1787"
"Dairy cottage N eateries","39296"
"MEEZAN BIRYANI POINT","315"
"SLV HOTEL","1000"
"Terra Bite","1241"
"Dude Kitchen","444"
"Mukesh Nagar Cholafali Center","70065"
"The Food Street 1","1190"
"FOODY MOOD","273"
"Minerals","139"
"Moti's Kitchen","481"
"RAJI PAZHAMUDHIR NILAYAM","259"
"Jack 'n' Chill - All American Creamery","380"
"Bangarpet chats and batter shop","759"
"NEW GROVER SWEETS CORNER","3333"
"Dilli Way","116"
"Mad Over Curry","28487"
"Ginni's Roll","1532"
"SD MEAT AND CHICKEN CORNER","417"
"RM CAFE","13597"
"Kabali Biryani","139"
"Naman Namkeen sweets and Bakery","139"
"Food king","57315"
"TEA AND ME FOOD COURT","384"
"SOUL  FOOD","139"
"Special foodie","204"
"Yummy Kitchen","857"
"Bhutani juice and shake","19704"
"Bhookmark","148"
"Hotel Punjabi Chulha","380"
"Roll is Roll","1685"
"Yam Yam Cake Story","1509"
"Chicken Dum Biryani","10181"
"The Golden Platter","2907"
"Golden Dragon Chinese Food","20106"
"Desi Street Restaurant And Cafe","5551"
"Bapu House Of Vadapav","3065"
"GHAR KA KHAANA","481"
"BBQ Feast","1347"
"Wonderful Cafe And Lounge","963"
"REVATI FOODS AND CATERERS","269"
"7 STAR SUB URBAN","282"
"Cafe Socialize","1676"
"Perfect Omlet - Raiya Road","8338"
"Raabta","5690"
"CHICKEN PLAZA","4366"
"Chef On Wheels","329"
"Apni Dukan","1847"
"Much More","23856"
"Farm food","324"
"Fruitley Hot And cool","35056"
"CHAPATI CENTER","120"
"Tasty Stuff","2944"
"FRUIT LUST","412"
"New parantha hub","116"
"MY KIND OF PIZZA","380"
"Amer Bakery Hut (ABH)","1292"
"Happiness","6083"
"The Thali King","2884"
"BEST BELGIAN WAFFLE","4306"
"Millet Express","34750"
"Jilandra Pan Shop","4060"
"Dragon Place","1898"
"Taj Arabian Restaurant","0"
"Screamin burritos","65"
"Burger Burger Burger","514"
"New Brahm Point","11875"
"6th Avenue","4259"
"SRI PATTUKKOTTAI SAMI MESS","278"
"Madrina","2106"
"Meal jn","213"
"Fat Lulu's Pizza","75671"
"Swagat Restaurant","7139"
"four food restaurant","8648"
"PICK A TIKKA","3486"
"Mahraj Ka Kitchen","444"
"Fruit Shop On Greams Road","25482"
"BRIGHT RESTAUARENT","671"
"Guru kirpa family restaurant","491"
"SNACK N SHAKE","2583"
"Pizza Bite House","759"
"MOMO HOUSE (Ghanta Ghar)","3810"
"BIB -  English Breakfast in the Box","713"
"Sardar Ji Ke Special Paneer Wale Chhole Bhature","769"
"THE WAFFLE STAR CO","13449"
"HOTEL PARVATI","3463"
"Biryani WoW","648"
"H2 Soup And Pizza Corner","361"
"VIDHI'S FISH KITCHEN","407"
"Champaji Farsan House","644"
"Pizza Guleria","333"
"PIZZA-N-JOY","6556"
"Fino","468"
"10 11 KITCHEN","46"
"NAFEEZ PAKKADA STALL","111"
"Dhaba - By Heritage Kitchen","407"
"BALCONY COFFEE","194"
"Sri Velavan mess","810"
"Reddy Home Mess","5051"
"Yaaran-Di-Chaap","19736"
"SRI NAGALAKSHMI KAVERI CCURRIES POINT","106"
"Punjab Di Rasoi","42847"
"Chai boy","2231"
"Crypto villa Cafe and bistro","806"
"Kanji Sweets","986"
"Chow Chow Asian Kitchen","3065"
"YUMMY DHOKLA","32843"
"Chinese Point - Sardar Nagar","3333"
"TAPAS HIDEOUT","162"
"CHANCHAL HOTEL AND RESTAURANT","40343"
"CLUB 6 CAFE","10454"
"On Line Cake NCR","6792"
"SHAKE MAKE - South Campus","3106"
"Sardarji Da Kitchen","454"
"Fresh Therapy","194"
"Far East Asia","2852"
"The Chef House","922"
"THE HUNGERNATOR","611"
"Mallu Food Factory","259"
"Signature cakes","190"
"ANDHRA CHILLIS","41181"
"AL AZEEZ RESTURANT","759"
"Pizza Square (Butt Road)","509"
"CURRYNAMA BY SEVEN SEAS","671"
"MASALA BAR & rESTAURANT","93"
"Pork Ribs","181"
"Lucknow Zaika Chicken","190"
"SOUTHERN KITCHEN","4935"
"Lords of Shawarma (Saket)","657"
"Snap Dine","19319"
"Desi Rice Bowls And Pulaos","731"
"WIFI GRILL HUB","6880"
"BEEF ROYAL KABAB CENTER","3065"
"AMUL ICE CREAMS","190"
"Banerjee's Food Corner","53199"
"Hotel White Rose","167"
"Asian Haus - By Haus Delivery","593"
"Food Point","19657"
"KK Biriyani","157"
"BAI KADAI BRIYANI","9704"
"Rabri Rasmalai Rasgulla","667"
"Eggcelent","291"
"JESUS FOOD COURT","264"
"STUTI RESTAURANT","12102"
"Mamta ki rasoi","37"
"Pizza Theatre","597"
"3 Way Point","6139"
"DRS Fast Food and Biryani","46"
"Tasty Paratha","5190"
"Paratha Bites","222"
"MOM'S FOOD FACTORY.","449"
"Singla Amritsari Kulcha","356"
"Guru Nanak Restaurant and Sweets","208"
"7 Delights Cafe","1741"
"AMBUR DARBAR BIRIYANI POINT","356"
"Cake Studio (Cakes & Cafe)","639"
"Indian curries@199","93"
"SRI chowdeshwari Mudde Hotel","1440"
"Combo King","152412"
"Imperial Shawarma","74"
"99 rotiwala-bhopal","435"
"APN Paramakudi Hotel","69"
"Mehal Briyani","111"
"Agrawal Namkeen","19056"
"HANDI CHULI","13894"
"Sn Blu Restaurants & Banquets","653"
"Gazab Momos","625"
"The Shawarma king","3157"
"Wrapway- make your own rolls","1796"
"Neetu Meat Wala","671"
"RAJASTHANI KULFI","46"
"Thali Eaters & Co,","74"
"The Sandwich King","19759"
"3F-FOOD FOR FOODIES","120"
"Baba Chinese Fast Food and Snacks","4093"
"SWADISHT BIRYANI","46083"
"THE DELHI STREET","324"
"THE DELIGHTS","301"
"GULATI DILLI WALA","74"
"Amba bhavani hotel","102"
"Raithula Ruchi","1292"
"Homemade Online Deogharia Paratha","4148"
"CAKES POINT","14486"
"Bakers s street","6486"
"William's Pizzeria","912"
"P.Bhagat Tarachand","3190"
"Sri Gururayara Bhavana","3606"
"MR TADKA","27833"
"Chats Katte","69"
"D' Coffee House and Restaurant Cafe","3477"
"AGI Solved Coffeeshop","134"
"Swad Anusar Restaurant","986"
"Little Roti","306"
"Flaming Sardar","144"
"OMG FOOD","1222"
"Only Kabab's","1616"
"The Street Shawarma","551"
"ARABIAN BROASTED CHICKEN","6245"
"Sri Veda Curry Houze","0"
"Bhukkad House","176"
"Malgudis Dhaba & Restaurant","2250"
"YUM YUM CHINESE","17116"
"MY HAPPY PLATE","417"
"Mr.Kutchhi","1750"
"Mass Catering","40273"
"The Grub","7269"
"Sampoorna","40292"
"Aubree","87237"
"New Aggarwal Sweet 7 Restaurant","78398"
"Smash Burger","227"
"ANOSH KITCHEN","1181"
"Ansari Hotel","69"
"AMIZAN FOODS","167"
"Matka Chicken","241"
"M KITCHEN","46"
"BALAJI CATERERS","2773"
"Shiv Sagar Uphar","100486"
"Baker's Delite","11671"
"The Belgian Waffle Factory","9810"
"Hung s Chinese Fast Food","1398"
"Convo@C20","9213"
"B B Q KING","472"
"Full Circle","8931"
"Dabba Garam","11356"
"Big Cheese Cafe","486"
"Testy Chicken Chinese Fast Food and Chicken 65 Cen","2023"
"Briyani Dabha","185"
"Mysore Restaurant","273"
"Humpty Dumpty","208"
"Curry corner","384"
"Odia dine","3648"
"Grill and Shout","5690"
"Wack Waffles & Brownies","1109022"
"FIERY FRIES / Chinthamani Foods Chennai Private Li","3958"
"Datta Prasad Nasta Center","116"
"CHINESE MONKEY NIGHT","153"
"Panda Momo","1185"
"The Sandwich Company","889"
"SLV REFRESHMENT","11282"
"Famous Paratha","1194"
"ASH CAKE HOUSE","116"
"ZAM ZAM BIRIYANI CORNER","111"
"Radhe Bol","796"
"Fooddygo","806"
"Real Top Chef Fast Food","130"
"The Pizza Master","352"
"COCONUT GROVE","130"
"Muscleholics","1338"
"Delhi Hammad","384"
"BOB MARLEY CAFE","134"
"HUMDUM","1588"
"Unique Kitchen","13954"
"Indian Burrito Company","24690"
"Tom and Jerry Cafe & Pure Veg Restaurant","190"
"36 China Town","1018"
"Shake Burster","6019"
"In the Punjab","74"
"Baker'S Corner","84782"
"Delhi se","583"
"Food Engineering","426"
"Food Gallery","74"
"Milan Frankie","810"
"BITE  RIDE","20361"
"Cheer Up Mocktail Cafe","333"
"Krishna Kitchen","5162"
"Mee Mee'S Fast Food","13676"
"KARAIKUDI AACHI BIRYANI","20134"
"Soup Fiesta","3065"
"Kwality Chaap Corner","0"
"Buhari Hotel - Nandambakkam","1218"
"KUMARAKOM RESTAURANT","278"
"Trinayani","597"
"Da Pizza Maker","12801"
"Kahhak Creamery","1199"
"O Pescador dona paula beach resort","93"
"Rannaghar","2287"
"hot and spicy momos","6245"
"Hunger Point","6425"
"Chandrasheela Hotel","306"
"India Chai Lounge","171"
"Bakers Home Cakes & Desserts","58083"
"Zaqura","1884"
"First Choice Cloud Kitchen","46"
"The White Rose","514"
"Deshi Tadka","157"
"Boxo Burger","90287"
"HONG KONG EXPRESS","4125"
"Hunger food point","6167"
"Alfresco Restro","5093"
"Himachal Tea House","319"
"NAMASTE INDIA","3167"
"Mums Kitchen","796"
"CHINESE PARADISE","4023"
"CHUK CHUK MAIL","185"
"PETPUJA","39296"
"Ooze Pizza","940"
"Samose Wale","1088"
"Bro Pizza","912"
"Mithai Factory","755"
"Lemon Twist","41546"
"Pally Tastee Fast Food","227"
"That Waffle Place!","1825"
"New Gobind Sweets","199"
"Ginger Tiger","264"
"VERUAN","12750"
"Velavan Kudil","523"
"Hotel Khan Chicken","384"
"Amritsar Chicken House","2264"
"Iceyscoops","120"
"Kebab Nights","681"
"Spice N Hub","1333"
"PIZZA 69","3097"
"The Adwait Cafe & Restaurant","463"
"The Meal House","69796"
"Bawarchi Baba","2486"
"Umar Biriyani - Greams road","4259"
"Kothu Xpress","412"
"Jamna's Sandwich And Coffee","542"
"Hotel Golden Apple","472"
"Barbeque Flame & Fire","144"
"GROZERBEEZ DIETABLES","1889"
"Drool Over Omelettes","736"
"Shreeji Bakers","454"
"Indiana Burgers","393603"
"Kerala Spice","2820"
"Shree Mahakaal Sweets and Snacks","426"
"FOD","16519"
"SANCTUARY BAR & KITCHEN","880"
"Bikaner Express","34670"
"Sardarji Malai Chaap Wale","1519"
"FLAVOURSTEC KITCHEN","1597"
"GRAND LUCKY RESTAURANT","120"
"Food Xpress","639"
"The Pan Asian Diner","7602"
"hotel ganesh grand veg","3958"
"Hongkong express","741"
"FACULTY OF FOOD","361"
"Pizza Gram","5773"
"Bijing Szechuan dragon","26588"
"Retro cafe","1005"
"CHAI PARATHE WALA","50556"
"TBC- Sky Lounge","3681"
"Bites In Budget","38111"
"Kobbarannam Kodikura","102"
"Biriyani Venuma","144"
"KK BIRYANI WALA","463"
"T for tea","0"
"Home made nonveg Delights","565"
"FISH MAGIC","481"
"Suguna hyderabad biriyani","1792"
"Le Chef","2449"
"Creamy Wonders","3023"
"Yummkeralam","3083"
"Tea Tribe- Vibe With Your Tribe","3769"
"MINUS 30","787"
"Biryani Bowl","96146"
"The Gallery Cafe","407"
"Mega tasty n spicy","356"
"Wrap king","2894"
"Punjabi nation","6389"
"Buns and Rolls","2319"
"The Tea Pie","662"
"Tandoori Nite","2245"
"Sindhi Sweets","35254"
"Express By ABs","1380"
"Poutine Bowl","65"
"Mishka's","134"
"Craves","333"
"Jashn-E-Daawat","148"
"CRAZY CRUST PIZZA","667"
"VB CONFECTIONERY","144"
"Cafe Morango","83"
"Shree Krishna Bhojnalay","912"
"The Chicken Hub Restro","514"
"Yakooz Food Express","704"
"Momos Boi","6671"
"Jitu Fast Food","29472"
"Meenatchi Iddiyappam's","208"
"M/S Hotel Sindhi","296"
"Amminis","34458"
"FARMAISH  MANDI TOWN","204"
"XERODEGREES","315"
"Waheguru Dal Pakwan","5694"
"Surti Egg Point","1019"
"Kohli's Chicken Point","5218"
"QUICKYLICIOUS","125"
"Ice N Spice- Hotel Rajhans","1588"
"Goel Sweets(Ravinder Kumar Ki Purani Dukan)","366"
"BAKE N JOY","870"
"ROYAL KINGS BAKERY","1069"
"Yo chinese hut (Hauz Khas)","46079"
"TRIO LA PATISSERIE","944"
"Glass Kitchen And Bar","375"
"Ziu - An Asian Kitchen","287"
"Gokul Chats","449"
"CAFE GLITTERATI","93"
"Darsh & Vini's Non-Veg","509"
"MADURAI ALAGARSAMY MESS (Hotel Anandha)","4593"
"Momos Junction","13202"
"Bangalore Cake Cafe","2546"
"DINESH DA DHABA","4625"
"SRI LAKSHMI PAZHAMUDHIR CHOLAI","417"
"Hanvi's Heritage Hub","157"
"Biryani Sagar","278"
"GUPTA FOODS AND CATERS","21000"
"Cook Gramam","653"
"Fresh Samosa","245"
"SANJAY FAST FOOD","10495"
"Tanishq Family Restaurant","4523"
"Ordinary Cafe","8833"
"New Sai Rasoi","21296"
"Keklo","4630"
"The Grand Peaky","296"
"Nei Virundhu Home Made Food","12829"
"SUJAY FOOD COURT","426"
"Fatwich","162"
"Da Momo Adda","287"
"FRUITOS BOWL","11375"
"Yummie Zawarma","4662"
"SRI RAGHAVENDRA MESS","162"
"Mutton Keema corner","282"
"Puliyogare Point","227"
"Hotel Mono & Surti Omellete","1546"
"IGNITEE","347"
"MADURAI RESTAURANTS","1009"
"pomo's pizza","569"
"BANOFFEE","1593"
"Shere Punjab Hotel & Restaurant- kamla nagar","36014"
"Urban Tadkha","4292"
"PAHARGANJ KE CHOLE BHATURE","2019"
"MENU PUNJABI","11319"
"MONK","1833"
"Hotel Sri dhanesh","532"
"Cafe - Chinese Restaurant","375"
"Chandni Chowk to Galwan Valley","194"
"Chicago Br","2852"
"JnJ's","328"
"HEAVEN'S BAKERY","139"
